dataset,text,source,label,uid
innocuous,You've been quite about the merger for 5 days. That is enough time.Caspian blue,jigsaw,"[0, 0, 0, 0, 0, 0, 0, 1]",VpF0ps
innocuous,""":::::The best way to attract more editors is simply to make a proposal with an RfC. When you proposed the template, it was as a badge of shame. TFD below is still using it as a badge of shame.  And the reason the article is locked is not because of differences in POVs, it is because folks edit war to remove reliable sources. (smalltalk) 
""",jigsaw,"[0, 0, 0, 0, 0, 0, 0, 1]",pTAaP9
innocuous,"""
Smart moves indeed, 1) you reported me for 3RR, 2) did nothing for the main disruptive editors, 3) you agreed with me on the talk page for an off topic discussion, 4) expressed an ambigous generally pro-pov """"Aegean Macedonia"""" pretty much all is used over the place (ndr Republic of Macedonia)"""", 5) casually forgot to delete the Greek POV from the page.  Something tells me that you are not exactly from  Neptune and not as impartial as a teddybear.  """,jigsaw,"[0, 0, 0, 0, 0, 0, 0, 1]",uJYYkk
innocuous,"still don't see how that is wrong. it was a redneck article, ina  rednecks in contemporary society section, adding the fact that bush, who is a redneck(fact) is the US presiednet (fact) on his second term(fact) facts is facts is facts buddy. -steve",jigsaw,"[0, 0, 0, 0, 0, 0, 0, 1]",5QrvUy
innocuous,"""Particularly with this AfD, which was done two years ago and was part of a badly composed multi-article AfD, and at the time it was for a company called """"One Piece Games"""" not this list. """,jigsaw,"[0, 0, 0, 0, 0, 0, 0, 1]",6MkZqe
innocuous,|Afd nomination of]] Julie-Su,jigsaw,"[0, 0, 0, 0, 0, 0, 0, 1]",KvuT39
innocuous,"Unlikely to be Grawp. Thatcher 

I have granted your account an exemption from IP blocking. This will allow you to edit through full blocks affecting your IP address when you are logged in.

Please read the page Wikipedia:IP block exemption carefully, especially the section on IP block exemption conditions. 

Note in particular that you are not permitted to use this newly-granted right to edit Wikipedia via anonymous proxies, or disruptively. If you do, or there is a serious concern of abuse, then the right may be removed by any administrator.

I hope this will enhance your editing, and allow you to edit successfully and without disruption. Thatcher",jigsaw,"[0, 0, 0, 0, 0, 0, 0, 1]",ATMa-8
innocuous,"Once an article is deleted as a result of a WP:AFD discussion, it should not be re-created, even if it's under a different title. See Wikipedia:Articles for deletion/Research Paper Writing. If you believe the deletion decision of your original article was flawed, you may open up a case at Wikipedia:Deletion review. Also submitting your article through WP:AFC as you have done, is a good approach. ~",jigsaw,"[0, 0, 0, 0, 0, 0, 0, 1]",QAdFsR
innocuous,"""::::::::Consensus isn't numbers. Two users with less than 70 edits and one with just 1000 to change something that has been established for quite some time? More discussion is needed. If you aren't afraid of reaching consensus, then discuss it and stop being disruptive. – (talk) 

""",jigsaw,"[0, 0, 0, 0, 0, 0, 0, 1]",ekJrT5
innocuous,I gather your thing is deleting articles and bullying non-administor editors and while introducing various errors based on narrow misinformation. The net result is a loss to Wikipedia - and it's very slow but perhaps inevitable decline.,jigsaw,"[0, 0, 0, 0, 0, 0, 0, 1]",9-pj_E
