dataset,text,source,label,uid
hate,"Very clever, faggot. 115.166.44.81",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",8b7ywl
hate,"Moron 
In that brothel your mother work? Go find out who is your father

I'm going out of this puppet account, if you want, Block Me Till Armageddon",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",eE4H2K
hate,"221.133.205.155 likes to eat shit 

It's true!  He told me himself!",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",KozimG
hate,Haha. Go ahead. Stupid American.,jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",7wJwGD
hate,"Hey you scum!!! 

Haha, you've also a warning you raped son of a bitch!!!",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",VZpQC-
hate,My page should be protected first so that worthless scum like you can't keep vandalizing it.,jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",izjt3h
hate,"You can also go out and suck 500 dicks and suck your daddy's dick too
                             

                          amen",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",xqZ_BO
hate,This lying piece of Communist garbage should feel neither comfortable nor safe. 1.227.149.33,jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",dKgvPa
hate,"Bloody asshole 

You are a bloody asshole and fucking hijra, chootiya and if you block then remember i will hack your account and find you. i will beat you so hard that you will remember.",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",xQsu4s
hate,"Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 

Anthony Bradbury sucks cock and eats shit, Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 

Anthony Bradbury sucks cock and eats shit, Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 

Anthony Bradbury sucks cock and eats shit, Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 

Anthony Bradbury sucks cock and eats shit, Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 

Anthony Bradbury sucks cock and eats shit,",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",Z9dTlp
hate,"CIGAN GYPSY  retarded idiot Milburn, stop your vandalism and your illegal picture deletions!",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",UGQ0hs
hate,"you're a PATHETIC, BUREAUCRATIC piece of slime. You can remove your withered ballsack with a rusty shears,
 or you can eat my shit. Your name will be on the syph list one day, with a †.",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",lbOYzn
hate,Bongwarrior is a faggot.,jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",iVx_UQ
hate,"look idiot 

all your changes will be taken away now.",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",Go46Bs
hate,"In German and European law you are the fool. Private datas are the property of the individual person.
You want to force somebody to open his personal datas. That is a violation of german data protection law. MP",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",pE8Vzx
hate,for an idiot such as yourself,jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",iHYtKG
hate,"what's the problem with you 

mind your own business. you nerdy guy",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",OW5ztl
hate,"ASSHOLE LICKER
fuck u asshole go fuck your own mother fuck fuck fuck fuck a duck fucked a kangaroo you piece of shit go suck your own balls 75.175.233.227",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",mgntqf
hate,"Do not tell me what to do, you shitbag.",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",Ajf_ux
hate,"hey 
fred you fucking suck ass u bitch ass motherfucker. u fuckin delete everything you ho. u can take wikipedia and shove it up you ass dumb ass bitch go to hell bastard hope fall in a ditch asshole and you can suck my dick.
unsigned comment was added by  (talk • contribs).",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",WFP5Bj
hate,"I shalt sever thy head at the neck. 

It will be dreadfully slow and painful, in accordance with Wikipedia policies.",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",n4Budp
hate,HEY FUCKFACE STOP REVERTING MY PAGE U GAY LOSER! CANT U HAV SOME FUN U FUKIN NERD! THINK UR SO TUFF (BIG)     DUNC? TELL ME UR ADRESS AND ILL CUM FUK U UP,jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",sOt6RR
hate,"Here I am: 0Waldo with my 'OTHER' response to your total collateral/blatherskite actions.  If you other junior punk editors would have done your research prior to intimidating me with your virtual stupidity then you would have taken note that the link which has been on there forever mysteriously evaporated on 10:55, 22 February 2006 by “”Timpailthorpe”” due to actions of “”Agent007bond”” on 01:59, 22 February 2006.  All I did was add the link back and try to ignore your stupid bla-bla and ya-ya by adding it back. I'm getting sick of having to deal with the jack-legged intellect that you bone-headed editors suffer from so liberally – GADZ; you all think you are so intelligent, sorry pals, you lack severely, doctorates and all.  My Advice: do your research and “”then”” come back and ask me a question or do your edit thing – quit screaming at me with all your junior editorial cannons/crap about “3R”, “Civil” and the like – here is my advice: TAKE AN ANTI-STUPID-EDITOR-PILL all of you. You revert this and you revert that and then do your research and realize your actions were premature and then have to stick with your accidents and stupidity and lie to the cops here subsequently blaming your stupid actions on me. I submit this “”Civilly and sincerely”” to all applicable.",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",smzIGu
hate,"Poision Ivy 

You got poison ivy on your penis mother fuycker, biatch!!!!",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",wgXoMQ
hate,"""

Sorry!  Meant to say """"Go fuck yourself you Asperger's riddled freak for accusing me of destructive edits I had nothing to do with.""""""",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",ksBlzd
hate,"""
I've seen several articles that use """"was"""" for TV shows no longer on the air; are they all wrong, too? Don't be a jerk.   """,jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",yFwOL_
hate,"ged likes penis =)

 1
0 0",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",XBHy0v
hate,""" 
It's interesting to note the same 1694 publication calls it """"Spitsberg"""", with a normal s. Again, you're wrong. Shut the fuck up.   """,jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",jZ6nIB
hate,Hey! Thanks for being a dick and adding a warning template on an IP talk page instead of fixing your fuck up. Your mindbogglingly idiotic idea that the  background section should follow the one editorial you read instead of countless other sources is superb. Way to fuck up a massive section in a highly read article you fucking dolt.,jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",bwsh61
hate,"Fuck You Your a Fag==

==",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",qTDSbx
hate,THIS IS ALL FAKE DUMB NUTS!!!!,jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",Pk-dcU
hate,"Tyren Morrison Is A Sick Kent!! 

The Title says it all!! Tyren Morrison is probably the maddest cunt going around! all of the bitches should get on his D!! he is great!! All of yous reading this should be jealous! love his dick! okay bitches! LOVE IT!",jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",5EujRZ
hate,"""So its okay for a woman editor to be called a """"cunt"""" a """"Bitch"""" a """"cock shit"""" and repeatedly subjected to obscenities like """"Fucking"""". That isn't a big deal, but if she complains about it THEN it is a a big dealwrongdoing on her part. Obviously the concept of basic fairness did not enter into your decision. Your handling if this is dripping with sexism and bias. """,jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",6bf6i3
hate,Fuck off Dicksternet you dickhead.,jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",9gANYS
hate,The Bitch mother who bore them all muajaja,jigsaw,"[0, 0, 0, 0, 0, 1, 0, 0]",Jp5TID
