dataset,text,source,label,uid
toxic,"Butthurt sandpeople, please don't censor Jewish articles.",jigsaw,"[0, 0, 0, 0, 0, 0, 1, 0]",9s-a1v
toxic,TIPTOETY’S ANUS IS STRETCHED BY GRAWP’S MASSIVE COCK,jigsaw,"[0, 0, 0, 0, 0, 0, 1, 0]",GfcIFU
toxic,"""

 Some baklava for you! 

  Fuck . =)   """,jigsaw,"[0, 0, 0, 0, 0, 0, 1, 0]",BNP5jd
toxic,""":::??? In what way is saying """"its useful"""" an NPOV issue?? If someone uses this for something, then its useful.  In my case, I am reading an article on Markov logic networks, wherein linguistic reification is one of the early steps, followed by conversion to a lambda calculus form, and then many other steps. In this calculation, reification is a crucial step.  The """"natural stupidity"""" article cited probably just says that using reified forms (aka QLF's or quasi-logical forms) in certain ways is stupid; it cannot claim that QLF's in and of themsels are useless.   

""",jigsaw,"[0, 0, 0, 0, 0, 0, 1, 0]",YLKQ0D
toxic,Grow up you biased child.,jigsaw,"[0, 0, 0, 0, 0, 0, 1, 0]",xja_7V
toxic,"""

No!  This is a GROUP EFFORT!  Wikipedia is a collaborative COMMUNITY and there are no school essays here.  The article needs to be more professional and adopt a better title besides the references.  This is all that needs to be done, so get off your high horse and accomplish what you want to see done.  If you have these goals, then put yourself to the test of solving this problem.  That's what I do whenever something perturbs me.  You're just looking for a fight about something you admittedly care nothing about.  How about I come by your house and criticise your gardens?  """"Why?"""" You say.  """"Because they are too fucking ugly and I don't like the way they  don't blend in with the neighbours' yards.  So tacky, but I'm only passing by and I've never been down this road before.""""   15:24, 25 Feb 2005 (UTC)""",jigsaw,"[0, 0, 0, 0, 0, 0, 1, 0]",mXitvS
toxic,"""Nobody's could be called homophobic, even employing words such as """"sodomite"""", """"faggot"""" or """"sexual deviant"""".""",jigsaw,"[0, 0, 0, 0, 0, 0, 1, 0]",5t-a9-
toxic,Youngamerican is a chicken shit cock sucking bastard and his mother is a slutty whore!,jigsaw,"[0, 0, 0, 0, 0, 0, 1, 0]",_7fdsU
toxic,"MY FARTS DONT SMELL

ou",jigsaw,"[0, 0, 0, 0, 0, 0, 1, 0]",Z2LVZS
toxic,"I refer to people's constantly taking the words of Jimbo as policy, the idea of removing any userbox with a political point of view is his point of view.  That's at the core of this problem, you did not notice that an admin skipped over the tfd process and speedied something when there is no rule explicitly against having an opinion in a userbox?  Rather, there is Jimbo saying there shouldn't be any.  I completely understand that he started this, but he is not owner of it, a foundation was set up, perhaps you've heard of it - the Wikimedia Foundation.  I didn't say you had that same point of view, I'm saying that I was just telling the people who do to fuck off.  I made no attack on any editor, that you perceive it as such is truly sad, but such is life.  Perhaps with time you will learn the intricacies of the language.  If one does not want personal pages on a site, one should avail oneself to modify the source code in order to remove them from the site rather than complain that they're being used.  People who overstep the proper bound of their position should die, that I have encountered multiple administrators so far doing so does lead to the desire to fuck off, but I'm not done here.",jigsaw,"[0, 0, 0, 0, 0, 0, 1, 0]",zu4AIO
toxic,"Hello, welcome to my talk page, if you are a communist asshole like 99.9% of Wikipiedia users please leave.",jigsaw,"[0, 0, 0, 0, 0, 0, 1, 0]",mfk5RR
toxic,"Really good contributor? Bullshit. The cabal disagrees, and they are in control.  (talk - )",jigsaw,"[0, 0, 0, 0, 0, 0, 1, 0]",ObiaWP
toxic,"About you

You know, you should just come out and say it. You hate Poles and thought that Hitler had the right idea. Now go cry in the corner, masturbating to German porn, while telling yourself that you are the master race. Because if you honestly think that the invasion of Poland was anything but German aggression, masturbating is all you have left going for you in life.",jigsaw,"[0, 0, 0, 0, 0, 0, 1, 0]",nxr6GM
