dataset,text,source,label,uid
toxic,quit trying to fix it u fucking douche bag,wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",EdhKv2
toxic,", I am now back to harassing children!",wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",8sbvG6
toxic,Sucks black cocks.,wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",CE_574
toxic,"You motherf#ckers have gone too far, I am not abusing attacking, I am helping. FML!!!",wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",CCNowo
toxic,I deeply and thoroughly apologize for the mischeif I have reaked on this knowledge-sharing site. Please let me make it up to you by being purely positive and constructive and together we can create a perfect information sharing society. Bitch.,wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",8D4wbz
toxic,Dude nobody likes u get a life!,wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",9PJIhF
toxic,"` ::::That was a nice message on my talk page. I enjoyed it. I mean, you still suck, but yeah, I had fun.   `",wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",d7IF2l
toxic,Hey Roy.  Go fukk yourself you gay bich.   Ya u heard me.    Pussy,wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",GG3ZCZ
toxic,Σ IS A GIGANTIC ASSHOLE.,wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",V5hkK7
toxic,The above posted by a typical American retard.,wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",-dHeae
toxic,: I don't need 'wiki-friends.' What a pathetic concept that is. I'm here to stir things up and effect change. The people who blocked me on false charges are soon going to wish they had imposed a long-term block. I plan on releasing a number of essays over the next few weeks describing problems in admin conduct. Stay tuned.,wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",pwDbI9
toxic,bitches be like thanks.,wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",0qwipv
toxic,` ::he looks better with his hair not obscuring his ugly face which might I add appears to be covered in some sort of pearly substance `,wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",QgaQmr
toxic,"Quit removing my content asshole, I'm not spamming. I'm adding relevant, valuable information with the only intention of helping the end user.",wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",z8gvL_
toxic,fuck head limey vandal,wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",Wh6uh0
toxic,"Don't listen to to TJive, he's an idiotic American nationalist pushing pro-American agenda and POV. Shomehow according to him Fidel Castro is a dictator  while his pro-American buddy Pinoshit is not.",wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",IgBjPi
toxic,stop  grinning u idiot. What I said waz true thus in the public interest. Not every comment has to be positive,wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",eVtCGw
toxic,"I'm takin ya down, boi.",wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",i3Hhon
toxic,"`Connor is a canadian citizen who loves life and the cock.  He dreams about 3 ft. long shlongs and can't get enough of that shit.  While in Cuba, he hooked up with a 2 ft. midget in a giant condom costume drenched in olive oil.  3 hrs. later Connor realized the midget was actually a tree stump.  3 hrs. later he finished up.  Then he called up Marcus Ray and told him about the story of the mad tree stump bonanza.  Marcus was SO intreged that they started their own fat porn business.  3 weeks into the shoot of their first motion picture ``Slap the lake and ride the wave``, Connor developed HIV AIDs and Syphilis.  Marcus was so turned on by this perdicament that they made passionate love.  Will Marcus get AIDs?  Tune in next time, same bat time, same bat channel... bitches.`",wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",5PtmFA
toxic,THERE SHOULD BE SOME MENTION THAT THIS COULD BE THE ANTICHRIST'S PAWN. JAVIER SOLANA MAY BE THE ANTICHRIST. THIS MAY BE THE TEN NATION ORGANISATION PROPHESISED IN THE BIBLE.,wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",Uy-90h
toxic,"You're a retarded twat, virgin in every cool thing and soon to be banned from the  English Wikipedia.",wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",GT1iyg
toxic,"I actually feel sorry for those greeks, loosing on all fronts and now here. Desperately trying to prove something in which, by most of the causes, it seems that they have no background. I sure hope they will give up and let prosperity strikes among us, and not funny nationalistic issues.",wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",QDkBkL
toxic,what the fu*k you fuc*ing fuck that was my fuc*ing life that you fuc*ing tore apart your a fuc*ing fu*k you fuc*ing fu*k.  PS WHAT THE FU*K   Fu*khead as*fu*king fuckfu*ker. FU*K,wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",9GF25P
toxic,"Mark. Your semen is not viable. Were you to procreate, the children would be homosexuals. Do no procreate Mark, enough is enough.",wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",jNNxAR
toxic,"I'll suck that geriatric cock of yours, big man. D'yo like that, huh? I'm a good girl with a tight ass and petite frame who needs to be taught a lesson.",wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",UplhLt
toxic,"`   ``People who criticize Wikipedia are usually un-educated sloths of the lowest possible order. Of course the great unwashed masses are suspicious of it, it is too smart for them. The Wal-Mart shopping, gun rack owning, beer drinking Jesus freaks who cant get enough of NASCAR wouldn’t understand intellect if it bit them on their Big Mac eating asses.`` This is why there are so many pointless edit wars. This is why people hate wikipedia. Superiority complex, you got that from those japs?     When I think of Carlton (he's some clerk working in Japan, right?) and all of the holier-than-thou, superior-than-thou insults he's thrown at so many people here (the evidence is all over the place)...I just can't help but think of one of Homer Simpson's quotes:  ``Everyone is stupid except me.``    `",wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",o1qtGQ
toxic,"Shove that barnstar up your ass, you faggot.",wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",f8RCnj
toxic,To bad it wasn't for life dickhead,wiki_toxic,"[0, 0, 0, 0, 0, 0, 1, 0]",p0D8I1
